Data_dostarczenia	Imie	Nazwisko	Liczba_kilogramow
2017-01-02	Agnieszka	Polak	2
2017-01-02	Klaudia	Myk	51
2017-01-02	Agata	Kwiatkowska	41
2017-01-02	Katarzyna	Zmokly	7
2017-01-02	Maja	Kulkowska	46
2017-01-02	Patryk	Giemza	12
2017-01-02	Balbina	Boryczko	54
2017-01-02	Filip	Spychala	55
2017-01-02	Borys	Myszor	45
2017-01-02	Agnieszka	Mala	3
2017-01-03	Alicja	Gadek	6
2017-01-03	Leon	Szybki	23
2017-01-03	Jerzy	Polanicki	53
2017-01-03	Filip	Spanowski	15
2017-01-03	Maciej	Lyszcz	44
2017-01-03	Daria	Zagrobna	14
2017-01-03	Julia	Rutkiewicz	26
2017-01-03	Piotr	Bialaszewski	19
2017-01-03	Maja	Lipka	14
2017-01-04	Jakub	Jedruszek	56
2017-01-04	Marta	Opolska	20
2017-01-04	Andrzej	Moldawiec	28
2017-01-04	Zuzanna	Malicki	24
2017-01-04	Marek	Bednarski	21
2017-01-04	Sebastian	Powoj	16
2017-01-04	Barbara	Podobinska	8
2017-01-04	Wieslawa	Koniec	41
2017-01-04	Anna	Kosowicz	9
2017-01-05	Patrycja	Glowinska	19
2017-01-05	Laura	Chmielewska	33
2017-01-05	Malwina	Korzeniowska	29
2017-01-05	Adrian	Zawisza	27
2017-01-05	Michal	Kirwiel	23
2017-01-05	Bartosz	Protasow	50
2017-01-05	Adam	Wata	15
2017-01-05	Andrzej	Augustowski	18
2017-01-05	Teodor	Fornal	2
2017-01-06	Bartosz	Protasow	23
2017-01-06	Filip	Strack	22
2017-01-06	Hanna	Stanislawska	17
2017-01-06	Maja	Lipka	19
2017-01-06	Hubert	Smyk	43
2017-01-06	Adelajda	Zylinska	22
2017-01-06	Karol	Felisiak	29
2017-01-06	Jan	Gacek	26
2017-01-06	Hubert	Nowaczynski	53
2017-01-09	Maciej	Kowalski	20
2017-01-09	Ewa	Stoch	26
2017-01-09	Maciej	Machalski	36
2017-01-09	Julia	Reclaw	11
2017-01-09	Marek	Sznuk	52
2017-01-09	Paulina	Szklarska	11
2017-01-09	Jerzy	Czajkowski	11
2017-01-09	Jerzy	Czajkowski	10
2017-01-09	Dominik	Szczucki	8
2017-01-10	Andrzej	Moldawiec	13
2017-01-10	Mateusz	Karpowicz	16
2017-01-10	Sandra	Filarska	46
2017-01-10	Maria	Borowska	41
2017-01-10	Jakub	Potocki	26
2017-01-10	Karol	Dziuk	22
2017-01-10	Adrian	Dulski	6
2017-01-10	Lena	Mazurkiewicz	24
2017-01-10	Andrzej	Augustowski	11
2017-01-11	Sebastian	Powoj	16
2017-01-11	Adam	Susel	8
2017-01-11	Maciej	Siemiatkowski	27
2017-01-11	Jan	Inny	9
2017-01-11	Jakub	Rembisz	32
2017-01-11	Seweryn	Krakowski	55
2017-01-11	Hubert	Nowaczynski	18
2017-01-11	Jaroslaw	Bicz	46
2017-01-11	Michal	Nowicki	17
2017-01-12	Edward	Snopek	43
2017-01-12	Kamil	Naderka	17
2017-01-12	Justyna	Pozarzycka	21
2017-01-12	Borys	Biedal	27
2017-01-12	Ewa	Tysz	22
2017-01-12	Anna	Minska	46
2017-01-12	Adelajda	Zylinska	15
2017-01-12	Wieslaw	Kasza	30
2017-01-12	Wojciech	Katowicki	31
2017-01-13	Kamil	Naderka	5
2017-01-13	Mateusz	Sardo	26
2017-01-13	Ewelina	Gorecka	10
2017-01-13	Dominika	Nowakowska	29
2017-01-13	Patrycja	Augustowska	40
2017-01-13	Jan	Kaczorowski	21
2017-01-13	Stanislaw	Derek	14
2017-01-13	Mariola	Las	26
2017-01-13	Joanna	Baranska	8
2017-01-16	Przemyslaw	Marek	56
2017-01-16	Maria	Borowska	3
2017-01-16	Aleksander	Wojciechowski	47
2017-01-16	Leon	Price	19
2017-01-16	Mariusz	Brydzinski	14
2017-01-16	Jan	Bikot	47
2017-01-16	Krzysztof	Konieckiewicz	13
2017-01-16	Natalia	Belicka	27
2017-01-16	Ewa	Wojna	23
2017-01-17	Jacek	Ciosinski	39
2017-01-17	Jolanta	Bicz	19
2017-01-17	Jakub	Rêczmin	17
2017-01-17	Michal	Norek	30
2017-01-17	Julia	Stuhr	22
2017-01-17	Anita	Pawelczyk	8
2017-01-17	Alicja	Chmiel	20
2017-01-17	Jakub	Jedruszek	20
2017-01-17	Jakub	Waniek	29
2017-01-18	Karol	Milek	42
2017-01-18	Piotr	Flis	4
2017-01-18	Wanda	Sadza	3
2017-01-18	Aleks	Wojcik	39
2017-01-18	Zofia	Janczy	51
2017-01-18	Jaroslaw	Kopiec	8
2017-01-18	Dorota	Adamus	22
2017-01-18	Kinga	Kleszcz	15
2017-01-18	Malgorzata	Wiecek	10
2017-01-19	Piotr	Felus	21
2017-01-19	Mateusz	Uklej	34
2017-01-19	Julia	Kielecka	43
2017-01-19	Jaroslaw	Kopiec	24
2017-01-19	Edward	Zdunek	29
2017-01-19	Anna	Trzebiatowska	5
2017-01-19	Marta	Opolska	54
2017-01-19	Maciej	Laskowski	29
2017-01-19	Jacek	Szypulski	4
2017-01-20	Maria	Drozd	12
2017-01-20	Mateusz	Uklej	14
2017-01-20	Mateusz	Kowalczyk	46
2017-01-20	Weronika	Zdroj	13
2017-01-20	Wieslawa	Biczysko	15
2017-01-20	Marek	Nowakowski	38
2017-01-20	Karolina	Welc	27
2017-01-20	Ewa	Stoch	49
2017-01-20	Barbara	Podobinska	17
2017-01-23	Emilia	Mroczek	10
2017-01-23	Maria	Drozd	12
2017-01-23	Agnieszka	Antos	42
2017-01-23	Sabina	Wilk	25
2017-01-23	Edward	Snopek	47
2017-01-23	Krzysztof	Madejski	14
2017-01-23	Marcin	Wrobel	6
2017-01-23	Igor	Ryngwelski	55
2017-01-23	Michal	Lenski	22
2017-01-24	Pawel	Nowakowski	45
2017-01-24	Agnieszka	Krawczynska	20
2017-01-24	Grzegorz	Domek	52
2017-01-24	Michal	Gora	47
2017-01-24	Krzysztof	Micun	13
2017-01-24	Maria	Galas	23
2017-01-24	Jerzy	Polanicki	11
2017-01-24	Joanna	Baranska	35
2017-01-24	Hanna	Steinborn	42
2017-01-25	Anita	Woloszyn	15
2017-01-25	Karolina	Wrona	9
2017-01-25	Kamil	Pudelski	33
2017-01-25	Jerzy	Czajkowski	17
2017-01-25	Dominik	Szczucki	11
2017-01-25	Witold	Sempa	19
2017-01-25	Daria	Zagrobna	14
2017-01-25	Alicja	Chmiel	6
2017-01-25	Malwina	Korzeniowska	47
2017-01-25	Beata	Lubelska	4
2017-01-25	Marzena	Jagielska	45
2017-01-26	Patryk	Giemza	39
2017-01-26	Maria	Adamska	34
2017-01-26	Emilia	Janik	9
2017-01-26	Izabella	Jelen	23
2017-01-26	Julia	Stuhr	3
2017-01-26	Karolina	Nowak	13
2017-01-26	Karolina	Karpacka	16
2017-01-26	Piotr	Dzierzak	19
2017-01-26	Marek	Wolicki	49
2017-01-26	Adrian	Yuksek	45
2017-01-26	Monika	Piterka	14
2017-01-27	Jan	Inny	23
2017-01-27	Magdalena	Okraska	42
2017-01-27	Edgar	Wyszomirski	30
2017-01-27	Marta	Robak	42
2017-01-27	Maja	Lipka	29
2017-01-27	Teodor	Olszewski	6
2017-01-27	Lena	Miszkin	17
2017-01-27	Maciej	Czyzynski	41
