nr_telefonu	data_godz_polaczenia	nr_pytania	odp
735284701	2017-06-01 15:00	1	B
435583833	2017-06-01 16:24	2	C
500093166	2017-06-01 16:51	2	A
543967501	2017-06-01 18:09	2	A
815057747	2017-06-01 20:15	5	B
658486083	2017-06-01 21:19	5	B
761645826	2017-06-01 23:02	1	C
474633859	2017-06-01 23:28	1	C
523809386	2017-06-02 00:29	3	C
956870062	2017-06-02 02:46	5	C
708776804	2017-06-02 03:29	2	A
975764618	2017-06-02 04:31	2	B
782343523	2017-06-02 06:11	3	C
541031973	2017-06-02 07:03	2	C
949410531	2017-06-02 09:20	2	A
875806925	2017-06-02 09:23	4	A
842000234	2017-06-02 09:38	5	B
934478749	2017-06-02 10:38	4	B
705547630	2017-06-02 11:21	1	C
681634279	2017-06-02 13:05	1	C
611917762	2017-06-02 15:00	3	A
690837654	2017-06-02 15:03	6	C
422562723	2017-06-02 17:17	2	B
580833489	2017-06-02 17:37	2	C
654692587	2017-06-02 19:11	5	A
766256726	2017-06-02 19:15	6	A
670582908	2017-06-02 19:30	5	B
495291166	2017-06-02 20:23	1	B
456754712	2017-06-02 22:12	1	C
479537587	2017-06-03 00:36	3	C
421153691	2017-06-03 00:50	3	C
511191374	2017-06-03 01:24	6	C
546989206	2017-06-03 02:57	6	A
684852681	2017-06-03 04:07	6	B
906605372	2017-06-03 04:21	3	C
456754712	2017-06-03 05:15	4	C
479537587	2017-06-03 07:38	5	A
421153691	2017-06-03 09:52	2	A
546989206	2017-06-03 12:23	3	B
684852681	2017-06-03 13:23	5	C
456754712	2017-06-03 14:42	6	C
479537587	2017-06-03 16:13	4	C
546989206	2017-06-03 17:03	5	C
684852681	2017-06-03 17:11	4	A
489123784	2017-06-03 18:26	6	A
689990038	2017-06-03 19:41	1	B
966520497	2017-06-03 20:59	2	B
808560549	2017-06-03 21:43	6	C
499609636	2017-06-03 21:48	3	C
529069571	2017-06-04 00:06	5	C
735284701	2017-06-04 01:40	5	C
798064543	2017-06-04 01:49	6	A
435583833	2017-06-04 03:53	6	B
500093166	2017-06-04 04:13	6	C
543967501	2017-06-04 06:36	3	C
815057747	2017-06-04 07:27	1	A
658486083	2017-06-04 09:06	2	A
761645826	2017-06-04 10:51	2	B
474633859	2017-06-04 10:58	2	B
523809386	2017-06-04 11:24	6	C
956870062	2017-06-04 11:58	6	C
708776804	2017-06-04 14:08	1	C
975764618	2017-06-04 15:00	4	A
782343523	2017-06-04 16:16	2	B
541031973	2017-06-04 16:51	1	C
949410531	2017-06-04 18:46	3	A
875806925	2017-06-04 20:29	5	A
842000234	2017-06-04 22:15	3	B
934478749	2017-06-04 23:21	1	B
705547630	2017-06-05 00:02	3	C
681634279	2017-06-05 02:19	2	C
690837654	2017-06-05 03:35	3	C
611917762	2017-06-05 04:49	1	C
422562723	2017-06-05 06:50	3	A
